Id,Age,Job,MaritalStatus,Education,Default,Balance,HomeInsurance,Loan,Communication,DayLastContacted,MonthLastContacted,Contacts,DaysPassed,Attempts,Outcome,CallStartTime,CallEndTime,Insurance
CP41,30,management,single,tertiary,0,2344,1,0,cellular,20,oct,2,92,3,failure,12:58:57,13:04:13,0
CP42,28,technician,single,tertiary,0,183,1,1,,28,may,2,-1,0,,12:52:24,12:53:26,0
CP43,39,blue-collar,married,secondary,0,300,1,0,cellular,14,may,1,-1,0,,14:50:44,14:59:10,0
CP44,35,unemployed,married,secondary,0,978,0,0,cellular,29,dec,3,209,3,success,12:04:17,12:27:07,1
CP45,45,blue-collar,married,secondary,0,4111,1,0,,19,may,2,-1,0,,16:29:40,16:33:11,0
CP46,38,technician,single,secondary,0,1255,1,0,cellular,6,may,1,170,4,failure,17:04:45,17:06:45,0
CP47,28,blue-collar,married,secondary,0,-95,1,0,,13,may,1,-1,0,,16:57:01,17:00:21,0
CP48,36,admin.,divorced,secondary,0,-37,1,0,,27,may,1,-1,0,,13:41:52,13:44:23,0
CP49,47,admin.,married,secondary,0,-245,1,0,,27,may,5,-1,0,,11:07:22,11:09:47,0
CP50,56,admin.,divorced,secondary,0,985,0,1,cellular,18,aug,2,-1,0,,12:54:27,12:56:57,0
CP51,59,unemployed,married,secondary,0,4497,1,0,cellular,4,feb,1,251,1,failure,17:43:31,17:47:04,0
CP52,34,admin.,single,secondary,0,10,0,1,,29,may,3,-1,0,,12:46:31,12:51:41,0
CP53,38,blue-collar,married,primary,0,290,1,0,cellular,16,apr,1,-1,0,,16:11:33,16:16:16,0
CP54,44,technician,married,tertiary,0,1818,1,1,cellular,3,feb,1,92,4,failure,12:21:51,12:30:19,1
CP55,41,services,single,tertiary,0,285,1,1,,29,may,1,-1,0,,15:40:33,15:42:48,0
CP56,58,technician,married,primary,1,-247,0,0,,6,jun,1,-1,0,,12:48:08,12:51:07,0
CP57,32,management,divorced,tertiary,0,530,1,0,cellular,24,sep,1,114,2,failure,14:10:13,14:11:44,0
CP58,40,blue-collar,married,secondary,1,-94,1,1,,7,may,1,-1,0,,11:24:19,11:28:06,0
CP59,40,management,married,tertiary,0,0,0,0,cellular,10,nov,1,96,8,success,10:01:07,10:03:34,1
CP60,57,retired,married,secondary,0,2020,0,0,,19,jun,4,-1,0,,16:58:34,17:00:07,0
CP61,80,retired,married,primary,0,1468,0,0,cellular,13,jan,3,-1,0,,17:36:48,17:42:18,1
CP62,58,management,married,tertiary,0,1271,1,0,cellular,28,jan,1,-1,0,,14:04:40,14:07:06,0
CP63,32,management,single,tertiary,0,4262,1,0,cellular,20,apr,1,152,1,failure,12:10:25,12:14:31,0
CP64,61,management,married,tertiary,0,6016,0,0,cellular,2,feb,3,-1,0,,12:26:20,12:37:30,1
CP65,24,student,single,secondary,0,23878,0,0,cellular,18,feb,1,-1,0,,10:35:08,10:38:13,1
CP66,45,blue-collar,married,primary,1,153,0,1,cellular,18,jul,9,-1,0,,11:56:47,12:08:33,0
CP67,37,services,single,secondary,0,1045,0,0,cellular,4,feb,1,-1,0,,13:33:29,13:38:30,0
CP68,34,admin.,married,tertiary,0,0,0,0,cellular,30,jul,1,183,2,success,15:53:37,15:58:29,1
CP69,38,management,married,tertiary,0,238,0,0,cellular,4,aug,1,92,3,failure,9:19:29,9:21:48,1
CP70,48,technician,single,secondary,0,-92,1,0,cellular,3,feb,1,-1,0,,10:05:03,10:28:16,1
CP71,43,self-employed,married,tertiary,0,3003,0,0,cellular,8,aug,3,-1,0,,16:07:16,16:13:14,0
CP72,34,technician,single,secondary,0,1279,1,0,cellular,21,oct,3,91,10,success,13:10:33,13:16:12,1
CP73,32,technician,single,tertiary,0,1855,0,0,cellular,15,sep,2,134,1,other,15:12:23,15:14:29,1
CP74,48,blue-collar,married,primary,0,323,0,0,cellular,28,aug,10,-1,0,,16:11:39,16:14:17,0
CP75,30,services,single,tertiary,0,0,0,0,,4,jul,1,-1,0,,11:44:40,11:45:51,0
CP76,39,blue-collar,married,secondary,0,167,1,1,cellular,12,may,1,-1,0,,12:55:27,13:05:39,1
CP77,50,blue-collar,married,primary,0,4108,1,0,cellular,7,aug,2,-1,0,,10:52:58,11:01:44,1
CP78,50,blue-collar,married,secondary,0,-253,0,0,,25,jun,1,-1,0,,17:14:36,17:15:19,0
CP79,24,management,single,tertiary,0,1506,0,0,cellular,12,jun,2,95,4,success,12:07:12,12:11:11,1
CP80,39,housemaid,married,primary,0,-44,1,0,,27,may,1,-1,0,,14:39:05,14:42:53,0
CP81,33,technician,married,secondary,0,6699,0,0,cellular,9,nov,1,462,1,failure,9:51:57,9:59:02,0
CP82,57,retired,married,secondary,0,5313,0,0,cellular,3,jun,1,-1,0,,14:58:46,15:02:06,1
CP83,32,blue-collar,married,primary,0,3136,1,0,cellular,19,nov,1,-1,0,,10:03:09,10:16:49,1
CP84,51,services,divorced,secondary,0,9,0,0,,18,jun,2,-1,0,,9:55:16,10:01:27,1
CP85,40,technician,single,tertiary,0,1646,1,0,cellular,4,may,2,91,3,success,13:26:54,13:33:26,1
CP86,40,management,married,primary,0,395,1,0,cellular,22,apr,4,-1,0,,9:41:30,9:45:22,1
CP87,41,services,divorced,secondary,0,2769,1,0,,18,jun,3,-1,0,,11:28:39,11:30:15,0
CP88,33,services,married,secondary,0,1697,0,0,cellular,4,may,1,182,1,success,9:32:08,9:40:17,1
CP89,49,blue-collar,married,secondary,0,2039,1,0,cellular,6,may,1,169,2,failure,12:42:54,12:50:25,1
CP90,47,management,married,tertiary,0,0,0,1,cellular,21,aug,1,-1,0,,10:56:31,11:02:45,1
CP91,41,admin.,married,tertiary,0,1536,0,0,cellular,7,aug,1,95,2,failure,16:38:01,16:42:34,1
CP92,39,blue-collar,married,primary,0,867,1,0,,7,may,1,-1,0,,13:50:07,13:58:08,0
CP93,59,management,married,tertiary,0,1,1,0,cellular,29,apr,1,-1,0,,16:29:30,16:33:00,1
CP94,34,technician,single,secondary,0,52,0,0,cellular,19,aug,4,-1,0,,11:09:19,11:10:49,0
CP95,28,unemployed,single,secondary,0,434,1,0,cellular,30,apr,1,-1,0,,14:57:00,15:01:17,0
CP96,52,management,married,tertiary,0,1065,1,1,,30,may,1,-1,0,,10:15:44,10:18:23,0
CP97,39,entrepreneur,divorced,secondary,0,-271,1,0,cellular,7,may,1,-1,0,,11:53:29,12:00:15,0
CP98,31,technician,single,secondary,0,53,1,1,cellular,6,may,1,-1,0,,13:22:44,13:31:34,1
CP99,45,services,divorced,secondary,0,608,1,1,cellular,7,may,3,323,30,failure,12:15:33,12:34:28,1
CP100,57,technician,married,primary,0,3376,1,0,telephone,2,jun,2,-1,0,,15:53:07,16:00:08,1
CP101,44,admin.,married,secondary,0,1074,1,0,cellular,11,jul,2,-1,0,,15:58:12,16:13:23,1
CP102,28,technician,single,secondary,0,154,1,0,cellular,18,feb,2,-1,0,,11:25:08,11:32:04,1
CP103,58,admin.,married,secondary,0,2160,1,1,cellular,5,may,1,-1,0,,14:49:15,15:07:25,1
CP104,29,admin.,single,secondary,0,464,0,0,cellular,9,nov,2,91,3,success,14:56:40,15:00:08,1
CP105,52,management,married,tertiary,0,583,0,0,cellular,17,nov,1,91,2,failure,9:28:11,9:31:40,1
CP106,30,blue-collar,married,secondary,0,913,1,1,cellular,19,nov,2,-1,0,,16:54:05,17:01:18,0
CP107,28,admin.,single,secondary,0,296,1,0,,13,may,1,-1,0,,10:53:36,10:57:14,0
CP108,57,technician,married,secondary,0,0,0,0,,13,may,1,-1,0,,11:53:46,11:54:30,0
CP109,40,admin.,married,secondary,0,1538,1,0,,30,may,2,-1,0,,15:45:50,15:52:20,0
CP110,40,services,single,secondary,0,65,1,0,cellular,15,may,3,-1,0,,9:23:52,9:24:07,0
CP111,41,admin.,single,secondary,0,100,1,0,telephone,24,jul,2,-1,0,,15:05:22,15:07:55,0
CP112,48,housemaid,married,secondary,0,513,0,1,cellular,28,jul,3,-1,0,,10:51:30,11:07:09,1
CP113,41,blue-collar,married,secondary,0,2823,1,0,,14,may,1,-1,0,,12:41:34,12:55:52,1
CP114,33,management,single,tertiary,0,224,0,0,cellular,23,sep,2,92,4,success,15:15:01,15:21:50,1
CP115,59,blue-collar,married,primary,0,320,1,0,,15,may,1,-1,0,,15:42:21,15:53:56,1
CP116,39,blue-collar,married,primary,0,12848,1,0,,5,jun,2,-1,0,,12:46:24,12:52:01,0
CP117,72,retired,married,tertiary,0,0,0,0,cellular,13,feb,1,-1,0,,16:39:50,16:41:29,1
CP118,40,services,married,,0,88,1,0,,9,jun,2,-1,0,,11:47:58,11:49:16,0
CP119,56,management,married,tertiary,0,171,0,1,telephone,17,jul,2,-1,0,,15:34:05,15:44:15,0
CP120,59,unemployed,married,primary,0,0,0,0,cellular,30,jan,2,-1,0,,15:55:58,16:46:23,0
CP121,31,entrepreneur,single,tertiary,0,137,0,0,cellular,29,jan,2,-1,0,,10:43:59,10:51:24,0
CP122,31,management,single,tertiary,0,933,1,0,cellular,9,jul,1,-1,0,,11:23:15,11:25:29,0
CP123,57,technician,married,secondary,0,253,0,1,,3,jul,3,-1,0,,16:38:41,16:42:31,0
CP124,32,admin.,married,secondary,0,0,1,0,cellular,30,apr,2,-1,0,,13:10:31,13:13:28,1
CP125,48,technician,married,secondary,1,295,0,1,cellular,17,nov,2,-1,0,,17:07:38,17:10:48,0
CP126,32,services,single,secondary,0,152,1,0,cellular,25,may,2,-1,0,,13:46:57,13:49:35,1
CP127,44,entrepreneur,married,tertiary,0,1631,1,0,,6,may,2,-1,0,,9:57:25,10:03:11,0
CP128,29,management,married,tertiary,0,5698,0,0,cellular,15,apr,1,264,1,failure,13:52:37,13:59:54,0
CP129,35,services,married,secondary,0,372,1,0,cellular,17,apr,2,280,1,failure,15:41:32,15:44:54,0
CP130,40,blue-collar,married,primary,0,46,1,0,,6,may,1,-1,0,,16:17:13,16:19:12,0
CP131,29,self-employed,single,tertiary,0,415,0,0,cellular,29,jan,1,-1,0,,10:41:19,10:43:21,0
CP132,44,services,married,primary,0,3,1,0,cellular,7,may,1,-1,0,,14:58:15,15:02:03,0
CP133,45,technician,divorced,secondary,0,1738,0,0,cellular,21,nov,1,106,2,failure,10:42:44,10:44:03,0
CP134,26,services,single,secondary,0,256,1,0,cellular,4,may,2,-1,0,,10:18:33,10:20:14,0
CP135,32,management,single,tertiary,0,0,0,0,cellular,5,feb,4,-1,0,,12:53:51,13:03:01,1
CP136,35,technician,single,secondary,0,1227,0,0,cellular,18,mar,4,90,6,other,10:40:28,10:50:21,1
CP137,38,entrepreneur,married,tertiary,0,946,1,0,cellular,11,may,1,-1,0,,17:04:45,17:05:54,0
CP138,20,student,single,,0,755,0,0,cellular,29,dec,1,-1,0,,12:30:20,12:35:04,1
CP139,32,blue-collar,married,primary,0,0,1,0,cellular,11,may,3,-1,0,,15:46:58,15:49:08,0
CP140,39,services,single,secondary,0,-244,1,0,,8,may,2,-1,0,,9:12:25,9:14:57,0
CP141,52,management,married,secondary,0,218,1,0,,2,jun,12,-1,0,,13:04:28,13:12:38,0
CP142,48,management,married,tertiary,0,0,1,0,cellular,26,aug,2,-1,0,,15:17:22,15:20:46,0
CP143,40,services,married,primary,0,-9,1,0,,15,may,2,-1,0,,17:40:43,17:56:03,1
CP144,26,admin.,single,secondary,0,766,0,0,cellular,15,oct,2,-1,0,,12:43:58,12:51:35,1
CP145,55,technician,divorced,tertiary,0,264,1,0,,30,may,2,-1,0,,16:53:56,16:54:30,0
CP146,32,blue-collar,single,primary,0,2829,1,0,cellular,5,may,1,-1,0,,10:43:44,10:44:10,0
CP147,35,services,married,secondary,0,5,0,0,cellular,30,jul,2,-1,0,,15:23:16,15:25:49,0
CP148,57,admin.,married,secondary,0,169,0,0,cellular,3,feb,1,-1,0,,14:52:10,14:58:19,1
CP149,34,technician,divorced,tertiary,0,66,0,1,cellular,19,aug,2,-1,0,,17:11:04,17:12:18,0
CP150,41,blue-collar,married,primary,0,-75,1,0,cellular,18,may,1,-1,0,,13:19:32,13:21:27,0
CP151,56,blue-collar,single,secondary,0,6483,1,0,cellular,16,apr,2,-1,0,,9:37:42,9:39:47,0
CP152,35,retired,married,primary,0,285,1,0,cellular,29,jan,1,-1,0,,13:21:26,13:23:42,0
CP153,44,services,married,secondary,0,-627,1,0,,26,may,2,-1,0,,11:41:26,11:47:39,0
CP154,34,technician,single,secondary,0,1279,1,0,cellular,22,jul,2,160,8,other,17:02:12,17:05:06,1
CP155,35,management,married,tertiary,0,656,1,1,cellular,21,nov,4,-1,0,,9:57:37,9:59:00,0
CP156,47,technician,single,,0,77,1,0,,9,may,4,-1,0,,16:29:45,16:31:08,0
CP157,46,technician,married,secondary,0,49,1,0,,30,may,3,-1,0,,12:57:13,12:58:49,0
CP158,26,blue-collar,single,secondary,0,-214,1,0,,13,may,4,-1,0,,16:51:53,16:53:19,0
CP159,33,services,single,tertiary,0,395,1,0,cellular,23,jul,6,-1,0,,9:36:33,9:59:12,1
CP160,60,technician,married,secondary,0,0,1,0,telephone,24,jul,14,-1,0,,14:08:53,14:10:34,0
CP161,31,admin.,married,secondary,0,88,1,1,cellular,8,aug,2,-1,0,,9:45:04,9:48:13,0
CP162,46,management,married,tertiary,0,2817,0,0,cellular,17,sep,1,-1,0,,13:52:02,14:01:05,1
CP163,50,technician,married,secondary,0,3370,0,0,cellular,2,jun,2,-1,0,,9:39:02,9:41:42,1
CP164,38,blue-collar,single,primary,0,127,1,0,cellular,28,jan,1,-1,0,,16:25:27,16:26:37,0
CP165,34,management,married,tertiary,0,0,1,0,cellular,7,aug,1,99,2,success,15:57:37,16:01:59,1
CP166,39,services,single,secondary,0,0,0,0,,5,jun,1,-1,0,,17:26:03,17:28:16,0
CP167,37,blue-collar,married,secondary,0,121,1,1,cellular,13,may,4,-1,0,,12:41:33,12:46:35,0
CP168,25,entrepreneur,single,tertiary,0,0,0,0,,25,jun,1,-1,0,,9:57:14,10:03:01,0
CP169,43,management,married,tertiary,0,1825,1,0,,20,may,2,-1,0,,10:21:32,10:33:54,0
CP170,38,technician,married,secondary,0,976,1,0,cellular,18,may,8,308,3,success,10:34:04,10:34:36,0
CP171,58,blue-collar,single,primary,0,26,1,0,cellular,12,may,4,-1,0,,11:40:46,11:50:46,0
CP172,48,admin.,married,secondary,0,13551,0,0,,11,jun,3,-1,0,,9:23:19,9:24:48,0
CP173,25,blue-collar,single,secondary,0,2007,0,0,cellular,12,jan,2,-1,0,,16:05:43,16:10:08,1
CP174,38,unemployed,married,tertiary,0,2812,1,0,cellular,30,apr,1,-1,0,,16:41:59,16:55:49,1
CP175,57,management,married,secondary,0,7162,0,0,cellular,17,nov,1,-1,0,,9:04:38,9:06:01,0
CP176,38,technician,married,secondary,0,557,1,0,cellular,16,nov,4,-1,0,,11:41:55,12:07:51,1
CP177,62,management,married,tertiary,0,3371,0,0,cellular,25,mar,1,178,2,success,10:05:19,10:08:26,1
CP178,76,retired,divorced,primary,0,2693,0,0,cellular,23,apr,5,184,2,success,9:35:31,9:37:20,0
CP179,49,services,married,secondary,0,199,1,0,cellular,31,jul,25,-1,0,,11:29:47,11:30:15,0
CP180,51,management,married,tertiary,0,2635,0,0,cellular,1,sep,1,98,2,failure,14:23:59,14:27:00,1
CP181,50,technician,married,tertiary,0,247,0,0,,23,may,1,-1,0,,10:45:29,10:48:22,0
CP182,25,blue-collar,single,secondary,0,1857,1,0,cellular,13,apr,4,187,6,success,14:51:15,14:56:10,1
CP183,32,blue-collar,married,secondary,0,169,1,0,cellular,14,may,2,-1,0,,15:13:36,15:18:27,0
CP184,44,blue-collar,married,secondary,0,16178,1,0,cellular,21,nov,1,-1,0,,13:55:29,14:00:26,0
CP185,45,blue-collar,single,secondary,1,0,0,1,cellular,16,jul,2,-1,0,,11:22:30,11:25:04,0
CP186,43,admin.,married,tertiary,0,189,1,0,cellular,14,jul,4,-1,0,,10:12:58,10:30:40,1
CP187,52,services,married,primary,0,14,0,1,cellular,28,jul,5,-1,0,,17:35:13,17:36:08,0
CP188,44,blue-collar,married,primary,0,0,1,0,cellular,6,may,1,-1,0,,13:09:20,13:09:37,0
CP189,37,services,married,secondary,0,580,1,0,,2,jun,2,-1,0,,13:12:13,13:20:02,0
CP190,35,admin.,married,secondary,0,898,1,0,cellular,9,apr,1,-1,0,,17:59:24,18:02:58,1
CP191,58,self-employed,divorced,tertiary,0,1382,0,0,,9,jun,1,-1,0,,10:40:48,10:52:28,1
CP192,44,blue-collar,divorced,secondary,0,558,1,0,,7,may,1,-1,0,,9:15:41,9:23:46,0
CP193,38,housemaid,married,secondary,0,-278,1,0,cellular,28,jul,2,-1,0,,13:31:39,13:34:02,0
CP194,38,management,married,tertiary,0,1477,0,0,cellular,15,sep,3,769,2,failure,10:59:22,11:05:47,1
CP195,27,services,single,secondary,0,683,1,0,,9,may,3,-1,0,,11:14:40,11:15:24,0
CP196,51,entrepreneur,married,primary,0,726,1,1,cellular,15,apr,2,-1,0,,12:35:38,12:37:05,0
CP197,30,technician,single,tertiary,0,2530,1,0,,9,may,1,-1,0,,11:48:52,11:50:02,0
CP198,43,management,married,tertiary,0,13015,1,0,cellular,21,nov,1,-1,0,,12:52:40,12:53:36,0
CP199,58,retired,married,primary,0,2074,0,0,cellular,18,jun,2,-1,0,,11:31:23,11:35:42,1
CP200,42,management,married,tertiary,0,2819,1,0,cellular,18,nov,2,-1,0,,15:17:03,15:19:32,0
CP201,49,admin.,single,tertiary,0,228,1,0,cellular,2,mar,1,-1,0,,14:43:53,14:50:01,1
CP202,35,services,married,secondary,0,2135,0,0,,11,jun,1,-1,0,,15:11:57,15:19:13,0
CP203,31,services,single,secondary,0,1510,1,0,cellular,13,may,4,176,1,failure,17:21:19,17:22:31,0
CP204,38,blue-collar,single,secondary,0,238,1,0,cellular,8,may,1,366,2,failure,10:45:39,10:47:05,0
CP205,33,management,single,secondary,0,0,0,0,cellular,26,aug,2,-1,0,,14:51:31,14:53:10,0
CP206,30,blue-collar,single,secondary,0,0,1,0,,5,may,2,-1,0,,17:54:15,17:54:20,0
CP207,48,housemaid,married,tertiary,0,468,1,0,,14,may,1,-1,0,,9:54:47,9:58:27,0
CP208,52,blue-collar,married,primary,0,994,0,0,cellular,22,aug,2,-1,0,,10:41:42,10:43:31,0
CP209,29,admin.,single,secondary,0,210,0,1,cellular,8,jul,1,-1,0,,9:22:58,9:25:18,0
CP210,38,entrepreneur,married,secondary,0,3249,1,0,,2,jun,1,-1,0,,15:25:20,15:31:44,0
CP211,47,management,married,tertiary,0,1224,0,0,cellular,21,aug,2,-1,0,,15:57:48,16:00:57,0
CP212,33,self-employed,single,tertiary,0,61,0,0,cellular,19,aug,3,-1,0,,15:10:19,15:24:15,1
CP213,46,management,married,primary,0,3229,1,0,cellular,20,apr,1,-1,0,,14:02:05,14:27:55,1
CP214,29,management,single,tertiary,0,3041,1,0,cellular,8,may,3,-1,0,,9:04:51,9:14:57,1
CP215,47,blue-collar,married,primary,0,206,1,0,,6,may,1,-1,0,,13:43:21,13:45:53,0
CP216,45,management,married,tertiary,0,1447,1,1,cellular,7,jul,2,-1,0,,17:49:12,17:56:53,0
CP217,28,management,single,tertiary,0,6784,0,0,cellular,1,oct,1,115,3,other,14:02:32,14:10:54,1
CP218,24,admin.,married,secondary,0,-94,1,0,cellular,15,may,1,-1,0,,12:52:55,12:56:32,0
CP219,42,management,married,tertiary,0,1435,1,0,cellular,7,may,1,-1,0,,13:26:31,13:45:39,1
CP220,55,technician,divorced,tertiary,0,0,1,0,,30,may,1,-1,0,,12:47:28,12:51:22,0
CP221,43,management,married,tertiary,0,3186,0,0,cellular,16,nov,1,88,1,failure,15:07:14,15:13:34,1
CP222,39,self-employed,married,tertiary,0,2630,0,0,,12,jun,5,-1,0,,17:44:36,17:55:27,1
CP223,47,services,married,secondary,0,1123,0,1,cellular,21,jul,5,-1,0,,9:50:58,9:55:09,0
CP224,42,blue-collar,married,secondary,0,165,1,0,,23,may,2,-1,0,,14:11:31,14:17:04,0
CP225,57,management,married,tertiary,0,-92,1,1,,20,jun,1,-1,0,,15:19:46,15:46:43,1
CP226,42,management,married,tertiary,0,2816,0,0,cellular,10,nov,2,-1,0,,14:41:07,14:44:20,1
CP227,55,blue-collar,married,secondary,0,2854,1,0,cellular,7,may,1,-1,0,,14:32:17,14:37:29,0
CP228,35,technician,single,tertiary,0,147,0,0,cellular,21,aug,2,-1,0,,15:04:04,15:06:18,0
CP229,71,retired,married,secondary,0,2850,0,0,cellular,17,feb,1,-1,0,,16:38:30,16:41:35,1
CP230,32,management,married,tertiary,0,3154,0,0,cellular,20,apr,2,150,2,failure,11:19:15,11:20:51,0
CP231,30,unemployed,single,secondary,0,1058,0,0,cellular,4,feb,1,-1,0,,10:40:58,10:49:33,0
CP232,61,admin.,married,,0,4629,1,0,cellular,27,jan,1,92,1,success,9:58:05,10:01:06,1
CP233,31,technician,married,tertiary,0,1197,1,0,,24,jun,3,-1,0,,17:29:38,17:35:29,0
CP234,59,management,married,tertiary,0,281,0,0,cellular,8,jul,2,-1,0,,16:18:17,16:25:27,0
CP235,36,unemployed,married,secondary,1,-318,1,0,,15,may,2,-1,0,,10:44:07,10:46:20,0
CP236,60,admin.,married,secondary,0,1880,1,0,,15,may,4,-1,0,,9:59:53,10:03:09,0
CP237,57,self-employed,divorced,tertiary,0,6519,0,0,cellular,20,nov,1,-1,0,,16:56:14,17:13:34,0
CP238,35,management,married,tertiary,0,94,0,0,cellular,22,aug,3,-1,0,,10:43:02,10:47:01,0
CP239,37,management,married,primary,0,1506,0,0,cellular,2,nov,3,80,3,success,12:00:08,12:01:49,0
CP240,47,technician,single,secondary,0,-239,1,1,cellular,7,jul,3,-1,0,,16:19:49,16:36:02,1
CP241,35,management,married,tertiary,0,43,1,0,cellular,20,apr,1,-1,0,,14:18:35,14:32:55,1
CP242,48,self-employed,married,tertiary,0,0,0,0,cellular,29,jan,3,-1,0,,15:52:08,16:12:57,1
CP243,23,admin.,married,secondary,0,299,1,0,,19,jun,1,-1,0,,15:19:27,15:21:11,0
CP244,41,admin.,married,secondary,0,0,0,0,,20,jun,1,-1,0,,14:59:43,15:01:12,0
CP245,50,blue-collar,married,primary,0,-522,1,0,cellular,13,may,3,-1,0,,11:38:10,11:52:33,1
CP246,31,management,single,tertiary,0,37,0,0,cellular,8,aug,2,-1,0,,9:36:45,9:47:54,1
CP247,54,services,single,secondary,0,0,0,0,cellular,23,sep,1,-1,0,,15:42:01,15:45:30,1
CP248,46,,single,primary,0,10,0,0,,18,jun,6,-1,0,,17:21:19,17:22:23,0
CP249,41,technician,single,secondary,0,28,0,0,,16,may,1,-1,0,,15:17:41,15:18:32,0
CP250,36,blue-collar,divorced,primary,0,666,1,0,cellular,11,may,1,-1,0,,11:25:57,11:30:42,0
CP251,58,admin.,married,secondary,0,3735,0,0,cellular,17,nov,2,-1,0,,15:30:33,15:32:04,0
CP252,56,admin.,married,secondary,0,45,0,0,,5,may,1,-1,0,,15:36:36,16:01:03,1
CP253,62,retired,married,primary,0,383,0,0,cellular,10,sep,1,-1,0,,12:33:15,12:37:51,0
